dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|Não quero me envolver em nada que seja desonroso contra {s15}.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Desonroso? Bah! Pensava que podia contar com você, {playername}, mas você provou o quão tolo eu fui. Terei que achar outra pessoa cuja lealdade é verdadeira.
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|Eu escrevi uma carta falsa para {s15}, com meu próprio selo, que envolve ele em uma conspiração conosco em um golpe contra {s14}, ao meu favor. Se convencermos {s13} de que a carta é genuína, ele vai lidar com {s15} rapidamente. É claro, o desafio aqui é convencer {s13} que a carta é realmente verídica... 
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Por favor continue, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Não, não vou me manchar com esse estratagema desonroso.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|É ai que você entra. Você trará a carta para {s14}, então entregará ela para um dos soldados com a instrução de levar até {s15}. Eu vou dizer a meus espiões para informarem a guarnição para que prendam o soldado em seu caminho. Os guardas irão, então, achar a carta e levá-la até {s13}. Eles vão torturar o homem, é claro, para tirar a verdade dele, mas tudo que ele sabe é que você pediu que a carta fosse entregue para {s15} em segredo. {s13} save que você serve a mim, e o tolo vai certamente acreditar no esquema.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Isso é tudo?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Há mais uma coisa... Seu mensageiro deve ser alguém confiável. Se mandar a carta através de um camponês comum, ou alguém prescindível, {s13} pode suspeitar de uma trama. Ele pode ter a sagacidade de uma lesma, mas mesmo uma lesma pode ver o óbvio. Dê a carta a alguém de sua companhia. Um de seus {s9}, talvez. 
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Que? Não posso mandar um de meus {s9} para morte!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|Então um {s8} será.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Ora vamos, {playername}. Sentimentalismo tem sua hora e lugar, mas não agora. Acredite, será generosamente recompensado, e qual é o propósito de um soldado senão o de morrer, como se diz?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Um {s8} será.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Não, não irei sacrificar um de meus homens.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Não posso demonstrar o quão agradecido estou por ouvir isto, {playername}. Estará removendo um dos maiores obstáculos de meu caminho. Aqui está a carta e 300 dinares para ajuda. Lembre-se, haverá mais se for bem sucedido. Muito, muito mais...
dlga_lord_tell_mission:lord_mission_told.2|Um grupo de meus soldados foi capturado em uma recente escaramuça com o inimigo. Por sorte temos um pacto de troca de prisioneiros, e eles soltarão meus homens, mas eles exigem que entreguemos prisioneiros de igual patente e número. Prisioneiros os quais eu não possuo no momento. Então, eu preciso de alguém para fazer {reg1} {s3} como prisioneiros para mim, então poderei fazer a troca.
dlga_lord_tell_mission:lord_pretalk|Não {playername}. Não preciso de sua ajuda desta vez.
dlga_lord_mission_told:lord_mission_accepted|Pode contar comigo, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Temo que não possa aceitar uma missão como essa no momento.
dlga_lord_mission_accepted:close_window|Excelente, {playername}, excelente. Confio muito em você.
dlga_lord_mission_rejected:close_window|É assim? Bem, suponho que não esteja a altura para esta tarefa. Terei que procurar alguém mais apto.
dlga_lord_talk:lord_leave_prison|Preciso partir agora.
dlga_lord_talk:lord_leave|Esta audiência acabou. Estou de partida agora.
dlga_lord_talk:lord_leave.1|Preciso partir agora.
dlga_lord_leave:lord_leave_give_quest|Antes de ir, {playername}, tenho um pedido a fazer... Podemos ser inimigos nessa guerra, mas rezo que acredite em mim, como acredito em você, e que podemos ser corteses um com o outro. Pois esperava que pudesse me ajudar em algo que é importante para mim.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Estou ouvindo.
dlga_enemy_lord_tell_mission:lord_mission_told|Tenho um amigo aqui, um velho guerreiro, que está muito doente. Pestilências instalaram-se em uma velha ferida de batalha, e, a menos que seja visto por um cirurgião logo, ele com certeza morrerá. Este homem é muito estimado por mim, {playername}, mas ele também é teimoso como um javali e se recusa que alguém veja seu ferimento pois não confia nos médicos daqui. Eu ouvi falar que tem um cirurgião capaz com você. Se permitir que seu cirurgião olhasse meu amigo, {reg3?ela:ele} pode ser capaz de convencê-lo a fazer a operação. Por favor, estarei em débito com você se escolher aceitar meu pedido.
dlga_lord_leave_prison:close_window|Nos veremos novamente.
dlga_lord_leave:close_window|Adeus, minha senhora. Continuarei sendo seu mais ardente admirador.
dlga_lord_leave:close_window.1|É claro, {playername}. Adeus.
dlga_lord_leave:close_window.2|Boa viagem para você, {playername}.
dlga_lord_leave:close_window.3|Sim, sim. Adeus.
dlga_lord_leave:close_window.4|Nos veremos novamente.
dlga_member_chat:lady_journey_1|Está apreciando a viagem, {s65}?
dlga_lady_journey_1:close_window|Estou bem, {playername}. Agradeço por sua preocupação.
dlga_start:spouse_talk|Sim, meu esposo?
dlga_spouse_talk:minister_issues|Como é minha ministra chefe, gostaria de falar sobre assuntos do reino
dlga_spouse_talk:offer_gift_quest_complete|Eu tenho os materiais para o presente de {s4}.
dlga_spouse_talk:spouse_cancel_political_quest|Vamos abandonar nosso plano de {s10}
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Tem certeza que deseja descartar essa ideia?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Sim, tenho certeza. Vamos abandonar esta ideia.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Para falar a verdade, esqueça;
dlga_spouse_talk:combined_political_quests|Vamos pensar em uma maneira de avançarmos nossa posição nesse reino
dlga_spouse_talk:spouse_organize_feast|Eu estava pensando que talvez pudéssemos ter uma festa.
dlga_spouse_talk:spouse_household_possessions|Vamos inventariar nossas posses domésticas
dlga_spouse_household_possessions:spouse_pretalk|De qualquer modo, esse é o conteúdo da nossa despensa.
dlga_spouse_talk:close_window|Falaremos mais tarde, {minha esposa, meu marido}
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|Meu marido, eu de agora em diante juro ser sua mulher, ficar com você nos bons e maus momentos. Que os céus sorriem para nós e nos abençoe com filhos, gado, e terra.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|Eu juro o mesmo. Seremos marido e mulher.
dlga_wedding_ceremony_player_vow:close_window|Espere -- espere... Não sei se estou pronto para isso.
dlga_wedding_ceremony_vows_complete:close_window|Eu agora declaro você e {s3} marido e mulher. Vá agora para a câmara preparada para você, e faremos os preparativos para que sua esposa esteja em seus salões em {s11}.
dlga_spouse_pretalk:spouse_talk|Algo mais, {meu marido/minha esposa}?
dlga_spouse_organize_feast:spouse_pretalk|Uma esplêndida ideia, {meu marido/minha esposa}. Contudo vamos aguardar até que a festa atual termine antes de organizar outra.
dlga_spouse_organize_feast:spouse_pretalk.1|Uma esplêndida ideia, {meu marido/minha esposa}. Contudo, devemos estabelecer uma corte antes de sediar uma festa.
dlga_spouse_organize_feast:spouse_pretalk.2|Uma esplêndida ideia, {meu marido/minha esposa}. Contudo, nosso reino recentemente teve uma festa. Talvez devêssemos aguardar cerca de {reg3} dias antes de organizar outra.
dlga_spouse_organize_feast:spouse_evaluate_larder_for_feast|Uma esplêndida ideia, {meu marido/minha esposa}. Contudo, para não insultar nossos convidados, devemos nos certificar de fornecer um farto e variado banquete, para os lordes,  as famílias deles, e seus destacamentos. Dito isso, devemos ter em conta um par de centenas de bocas para alimentar, por cerca de alguns dias. Vamos dar uma olhada em nossas posses domésticas.
dlga_spouse_evaluate_larder_for_feast:spouse_feast_confirm|{s9}
dlga_spouse_feast_confirm:spouse_feast_added_items|Deixe-me adicionar mais itens aos nossos estoques.
dlga_spouse_feast_added_items:spouse_evaluate_larder_for_feast|Tudo bem -- deixe-me reavaliar o que temos aqui...
dlga_spouse_feast_confirm:spouse_feast_confirm_yes|Vamos enviar os convites.
dlga_spouse_feast_confirm:spouse_pretalk|Vamos esperar, então
dlga_spouse_feast_confirm_yes:spouse_pretalk|Vou espalhar a notícia, então, de que faremos uma grande festa assim que as condições do reino forem propícias. Talvez você devesse continuar a suprir nossa despensa, para que façamos jus a nossa reputação e hospitalidade. 
dlga_spouse_feast_confirm_yes:spouse_pretalk.1|Muito bem, então. Que a festa começa imediatamente em nossa corte {reg4?aqui} em {s9}. Talvez você devesse continuar a suprir nossa despensa, para que façamos jus a nossa reputação e hospitalidade. Você pode declarar que a festa terminou a qualquer momento, seja começando uma campanha militar ou deixando que os vassalos saibam que podem retornar a suas casas.
dlga_start:close_window.16|Que maravilhoso... Em pouco tempo estaremos casados! Contudo, devo informá-lo que nos próximos dias, seria contra os costumes que eu e você nos falassemos com frequencia.
dlga_start:close_window.17|Em, {playername}, talvez você não esteja acostumado com nossos costumes matrimoniais, mas eu esperava que alguém lhe contasse... Fale primeiro com meu {s11}, {s4}.
dlga_start:close_window.18|Eu não sei onde encontrar meu {s11} {s10}, que por tradição deveria dirigir nosso casamento. Talvez devêssemos esperar até que ele seja encontrado...
dlga_start:close_window.19|O honorável {s12} permitiu que retornássemos ao nossos lares e famílias. Estaremos de partida logo.
dlga_start:kingdom_lady_captive|Que solidão! Sinto falta de minha família!
dlga_start:kingdom_lady_captive.1|Você é um mulherengo, senhor, por segura uma dama assim...
dlga_start:kingdom_lady_captive.2|É estranho. Algumas vezes você me mostrou ternura, mas ainda assim me mantém aqui contra minha vontade.
dlga_start:kingdom_lady_captive.3|Por que minha família não pagou meu resgate? Pode me manter prisioneiro, mas parece que você gosta mais de mim do que eles!
dlga_lady_stranded_next:close_window|Saudações, {senhor/senhora}. Os rumos da guerra me fizeram ficar presa aqui nessa fortaleza, mas eu estarei saindo daqui em breve.
dlga_start:lady_talk_refugee|{playername} -- Eu asumo que você, como {um homem/uma mulher} de palavra, vai concordar em deixar que damas como nós tenham o dierito de retornar a nossas famílias, e não exigir um resgate.
dlga_start:lady_escort_lady_succeeded|Obrigado por me escoltar até aqui, {playername}. Por favor aceite este presente como prova de minha gratidão. Espero que nos encontremos novamente no futuro.
dlga_lady_escort_lady_succeeded:close_window|Foi uma honra servi-lo, {s65}.
dlga_start:close_window.20|Nós partiremos em breve{s5}. É bom saber que algumas pessoas ainda agem com honra nesse mundo.
dlga_lady_talk_refugee:close_window|É claro, minha senhora.
dlga_lady_talk_refugee:lady_captive_talk|Você assumiu errado, minha senhora!
dlga_lady_captive_talk:lady_captive_confirm|O que?! Que infâmia é essa?
dlga_lady_captive_confirm:close_window|Minhas desculpas -- você me entendeu mal. É claro que vou deixá-la partir.
dlga_lady_captive_confirm:close_window.1|Contate sua família para negociarmos seu resgate, minha senhora.
dlga_kingdom_lady_captive:close_window|Então escreva para sua família, e peça que sejam rápidos com o resgate!
dlga_kingdom_lady_captive:close_window.1|Eu mudei de ideia -- está livre para ir.
dlga_start:close_window.21|Bem, {playername} -- você lutou um duelo com {s10} e perdeu. De acordo com nossos costumes e tradições, eu não devo mais receber você. Adeus, {playername}.
dlga_start:lady_duel_lost|Oh {playername} -- eu fiquei sabendo do seu duelo com {s10}. Eu queria que nunca tivesse duelado com ele, pois nossa honra e tradição exigem que, como perdeu para ele, você desfaça qualquer pretensão que tenha comigo. Adeus, {playername}.
dlga_lady_duel_lost:close_window|Muito bem - temos que fazer como a tradição manda... Adeus, minha senhora.
dlga_lady_duel_lost:lady_duel_lost_flaunt_conventions|Que a honra e a tradição se danem!
dlga_lady_duel_lost_flaunt_conventions:close_window|Oh, {playername}! Embora as pessoas falarão, meu coração vai se partir se não puder mais vê-lo. Devemos ignorar essa tradição boba e cruel.
dlga_lady_duel_lost_flaunt_conventions:close_window.1|Não, {playername} -- Não posso permitir que sujemos nossos nomes, e nem você.
dlga_start:lady_start|Oh, {playername} -- soube que duelou e venceu {s10}. Estou muito grata que tenha me livrado daquele homem mau!
dlga_start:lady_start.1|Bem, {playername} -- você venceu seu duelo com {s10}. Claramente, ele não era digno de minha afeição.
dlga_lady_duel_rep_1:lady_start|Bem, {playername} -- você venceu seu duelo com {s10}. Oh, quanta tolice, porque os homens têm que lutar por mim! *suspiro*... Mas é um pouco romântico, eu acho.
dlga_lady_duel_rep_2:lady_start|Bem, {playername} -- você venceu seu duelo com {s10}. A honra exige que ele e eu não nos encontremos mais... Eu gostava dele, sabe. Você não me ajudou ao lutar com ele, senhor.
dlga_start:lady_qst_duel_for_lady_succeeded_1|Meu querido {playername}, que felicidade ver você novamente! Eu fiquei sabendo que ensinou uma lição ao vil {s13}. Ele mereceu e espero que nunca esqueça essa humilhação. Eu tenho uma recompensa para você, mas temo que seja pouco comparado ao que fez por mim.  
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Oh, isso vai dar.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.1|{s66}, isso é muito!
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.2|Por favor, {s65}, não há necessidade de recompensa.
dlga_lady_qst_duel_for_lady_succeeded_2:lady_pretalk|{s10}
dlga_start:lady_qst_duel_for_lady_failed|Me disseram que você procurou satisfações de {s13} para provar minha inocência, {playername}. Foi um bom gesto, e eu agradeço por seus esforços.
dlga_lady_qst_duel_for_lady_failed:lady_qst_duel_for_lady_failed_2|Eu imploro por seu perdão pela minha derrota, {s65}...
dlga_lady_qst_duel_for_lady_failed_2:lady_pretalk|Não importa, caro {playername}. Você tentou. A verdade não pode ser provada na ponta de uma espada, mas você pôs sua vida em risco por minha honra. Somente isso convencerá muitos de minha inocência.
dlga_start:lady_start.2|Ah {playername} - você deve ter recebido minha mensagem. Que feliz estou por você ter vindo!
dlga_start:lady_proposal_pending|{playername} - alguma notícia de minha família?
dlga_start:lady_betrothed|Eu fiquei sabendo que meu {s11} recusou seu pedido para casar comigo. Isso significa que devemos desistir?
dlga_start:lady_generic_mission_succeeded|Oh, {playername}, você o trouxe de volta para mim! Muito obrigado por resgatar meu {s11}. Por favor, pegue isso como uma pequena contribuição por seu ato nobre.
dlga_start:rescue_prisoner_succeed_1|{playername}, você o salvou! Muito obrigado por resgatar meu {s11}. Por favor, tome isso como um pequeno reembolso pelo seu ato nobre.
dlga_rescue_prisoner_succeed_1:lady_pretalk|É sempre uma honra servir, {s65}.
dlga_start:lady_meet_end|Você deve ser {playername}. Tivemos a honra de vê-lo distinguir-se no recente torneio{s8}.
dlga_start:lady_meet_end.1|Você deve ser {playername}. {reg16?Minha:Meu} {s15} {s16} falou muito sobre você. Estou maravilhada por finalmente conhecê-lo.
dlga_start:lady_premeet|Digo, você não me é familiar...
dlga_start:close_window.22|Ah, {playername}. Que bom ver você novamente. Contudo, acho que fui requisitado em outro lugar.
dlga_start:lady_start.3|{playername} -- como é bom ver você. (Sussurra:) Ainda lembro de suas visitas ternamente.
dlga_start:lady_meet_end.2|Ah, {playername}. Que esplêndido foi ver você se distinguir no recente torneio.
dlga_start:lady_start.4|{s12}
dlga_lady_start:lady_betrothed|Tenho tristes notícias. Fui desposada por {s5} --  contra minha vontade, devo dizer! Oh {playername} - Como eu queria estar comprometida com você!
dlga_lady_start:lady_betrothed.1|Bom {playername} -- Eu me tornei noiva de {s5}. Não parece que vamos poder nos ver um a outro desse maneira novamente.
dlga_lady_start:lady_other_suitor|Devo dizer -- há outro lorde que tem me visitado, embora eu não consiga suportá-lo. Eu temo que eu esteja nos planos deles, e que tente me desposar contra minha vontade.
dlga_lady_start:lady_talk|{s11}Provavelmente não é aconselhável que fiquemos conversando por muito tempo, mas espero ver você novamente.
dlga_lady_start:lady_talk.1|{s11}
dlga_lady_start:lady_talk.2|Estava planejando me retirar por um momento, mas talvez tenhamos uma chance de falar mais outra hora...
dlga_lady_start:lady_talk.3|É tão bom termos a chance de passar um tempo juntos.{s12}
dlga_lady_start:lady_talk.4|O que o traz aqui hoje?
dlga_lady_proposal_pending:close_window|Sem notícias por enquanto...
dlga_lady_proposal_pending:lady_proposal_pending_end|Pensando bem, agora não seria a hora de nos casarmos.
dlga_lady_proposal_pending_end:close_window|{s11}
dlga_lady_betrothed:lady_suggest_elope|Nunca! Devemos fugir agora mesmo!
dlga_lady_betrothed:lady_pretalk|Talvez eu ainda consiga fazer {s11} mudar de ideia.
dlga_lady_betrothed:lady_conclude_relationship|Que assim seja -- vamos partir então.
dlga_lady_suggest_elope:lady_conclude_relationship|Bom {playername} -- você é um homem bom e gentil, mas uma dama não pode desafiar a família dela. Tais coisas não podem ser feitas!
dlga_lady_suggest_elope:lady_other_suitor|Senhor -- como deve saber, eu recebi ofertas de um grande número de cavalheiros como você. Eu ainda não estou no ponto onde possa me comprometer com qualquer um deles.
dlga_lady_suggest_elope:lady_conclude_relationship.1|Ah {playername}, você tem que aceitar. Você ainda está procurando seu lugar no mundo. Eu tenho muita afeição à você, {playername}, mas não posso me entregar a obscuridade.
dlga_lady_suggest_elope:lady_conclude_relationship.2|Ah {playername}, embora seja gentil comigo, não estou certa sobre sua fibra moral para arriscar tal coisa. Embora possua pouca afeição com meu esposo, será algo muito pesaroso ir de encontro aos desejos de minha família, e não estou certa sobre você para tomar tal medida.
dlga_lady_suggest_elope:lady_conclude_relationship.3|Bom {playername} -- fugir seria jogar fora meus laços familiares, que são tudo para mim! Eu tenho uma considerável afeição por você, mas não sei se estou preparada para arriscar isso.
dlga_lady_suggest_elope:lady_conclude_relationship.4|Bom {playername} -- Não estou acostumada com as dificuldades de se estar no campo viajando com soldados o tempo todo como você está. Eu quero um lar para chamar de meu. Se você fosse um lorde de um castelo com um grande salão, eu iria para lá feliz da vida como sua esposa, para ser a senhora do lugar. Mas eu não quero viver como um cão de caça.
dlga_lady_suggest_elope:lady_elope_agree|Fugir com você? Sim -- podemos fazer isso. Será uma afronta a minha família -- mas um casamento sem amor, e uma vida sem você, podem ser de longe muito pior que isso! Mas esteja avisado -- isso será um grande golpe ao prestígio de meu {s11}, e ele vai fazer tudo que puder para atingi-lo. 
dlga_lady_elope_agree:lady_elope_agree_nurse|Rápido, então! Não há tempo a perder.
dlga_lady_elope_agree:close_window|Tudo ao seu poder, você diz? Em.. Espere um pouco, me deixe pensar...
dlga_lady_elope_agree_nurse:lady_elope_agree_lady_vows|Meu senhor... Minha senhora... Gostariam que eu testemunhasse seus votos?
dlga_lady_elope_agree_lady_vows:lady_elope_agree_nurse_2|Sim, faça isso. De minha parte, faço o seguinte voto: Eu, {s4}, juro que aceito {playername} como meu esposo, de acordo com as antigas leis e costumes de nossa terra...
dlga_lady_elope_agree_nurse_2:lady_elope_agree_player_vows|Muito bem. E você, {playername}, jura aceitar {s4} como sua esposa?
dlga_lady_elope_agree_player_vows:close_window|Eu juro.
dlga_lady_elope_agree_player_vows:close_window.1|Eh, o que? Isso está indo rápido demais...
dlga_lady_elope_agree:lady_conclude_relationship|Oh, mesmo? Minha querida -- Nunca poderia separar uma dama de sua família dessa forma...
dlga_lady_conclude_relationship:lady_conclude_relationship_confirm|Então suponho que nosso tempo juntos chegou ao fim...
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_yes|Sim -- deve ser...
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_no|Espere -- talvez ainda haja uma chance para nós!
dlga_lady_conclude_relationship_confirm_yes:close_window|Adeus, {playername}. Ainda nos veremos novamente, nas cortes e castelos desse reino, mas devemos manter distância um do outro. Ainda assim, eu lembrarei destes dias com ternura.
dlga_lady_conclude_relationship_confirm_no:close_window|Nesse caso, nós devemos esperar e ver o que o futuro nos traz.
dlga_lady_generic_mission_succeeded:lady_pretalk|É sempre uma honra servir, {s65}.
dlga_lady_premeet:lady_meet|Eu sou {playername}.
dlga_lady_premeet:lady_meet.1|Meu nome é {playername}. Ao seu dispor.
dlga_lady_meet:lady_meet_end|É claro. Que esplêndido finalmente conhecê-lo.
dlga_lady_meet:lady_meet_end.1|{playername}? Acho que nunca ouvi falar de você antes.
dlga_lady_meet_end:lady_talk|Estava planejando me retirar por um momento, mas talvez tenhamos uma chance de falar mais outra hora...
dlga_lady_meet_end:lady_talk.1|Agora, se me permite...
dlga_lady_meet_end:lady_talk.2|Posso ajudar em algo?
dlga_lady_talk:lord_talk_ask_location|Eu quero saber a localização de alguém.
dlga_lady_pretalk:lady_talk|Agora, se me permite...
dlga_lady_pretalk:lady_talk.1|Algo mais?
dlga_lady_talk:lady_relations|Posso ter a honra de saber mais sobre você, minha senhora?
dlga_lady_relations:lady_pretalk|{s12}
dlga_lady_talk:lady_profess_admiration|Minha senhora, eu gostaria de declarar que sou seu mais ardente admirador.
dlga_lady_talk:lady_tournament_dedication_reaction|Minha senhora, eu gostaria de dedicar meu sucesso no recente torneio a você.
dlga_lady_tournament_dedication_reaction:lady_pretalk|{s9}
dlga_lady_profess_admiration:close_window|{s11}Eu gostaria muito se pudéssemos nos ver com mais frequência.
dlga_lady_profess_admiration:lady_pretalk|Ah... Você é muito gentil... Oh puxa, está tarde, não está? Preciso ir.
dlga_lady_talk:lady_recite_poetry|Gosta de poesia, minha senhora?
dlga_lady_recite_poetry:lady_recite_poetry|Isso dependeria do poema. Você pretendia recitar um verso?
dlga_lady_recite_poetry:lady_recite_poetry_response|O vento sopra na poeira seca da estepe...
dlga_lady_recite_poetry:lady_recite_poetry_response.1|Todas as sedas de Veluca/Todas as peles de Khudan...
dlga_lady_recite_poetry:lady_recite_poetry_response.2|Você é a primeira e a última/a de fora e a de dentro...
dlga_lady_recite_poetry:lady_recite_poetry_response.3|Uma luz trespassou a escuridão por sobre as falésias de Wercheg...
dlga_lady_recite_poetry:lady_recite_poetry_response.4|Eu rebati os dardos de dúvidas céticas dela/com armadura feita da mais pura devoção...
dlga_lady_recite_poetry:lady_pretalk|Na verdade, não consigo lembrar de algum que possa recitar...
dlga_lady_recite_poetry_response:lady_private_conversation_end|{s11}
dlga_lady_private_conversation_end:lady_pretalk|O tempo está passando rapidamente, e não podemos esperar muito.
dlga_lady_talk:lady_marriage_discussion|Você acha que teríamos um futuro juntos, minha senhora?
dlga_lady_marriage_discussion:lady_other_suitor|Senhor -- como deve saber, eu recebi ofertas de um grande número de cavalheiros como você. Eu ainda não estou no ponto onde possa me comprometer com qualquer um deles.
dlga_lady_marriage_discussion:lady_proposal_refused|É bom saber que você está pensando seriamente sobre o futuro. Contudo, gostaria de ver você subir um pouco na vida antes de estar pronta para me comprometer e casar com você.
dlga_lady_marriage_discussion:lady_proposal_refused.1|É bom saber que suas intenções são honráveis. Contudo, eu resolvi somente me casar com um homem da mais forte moral. Queria que você provasse mais nesse aspecto.
dlga_lady_marriage_discussion:lady_proposal_refused.2|Senhor -- é reconfortante ouvir que suas intenções sobre mim são honráveis. Mas talvez devêssemos dar um tempo para que as afeições que sentimos um pelo outro cresçam e fiquem mais fortes, antes de tomar tal decisão.
dlga_lady_marriage_discussion:lady_betrothed|Oh {playername}, isso me deixaria tão feliz! Mas meu {s11} {s4} nunca permitiria... Talvez seja melhor não tentarmos isso...
dlga_lady_marriage_discussion:close_window|Oh {playername}, isso me deixaria tão feliz! Vá e peça a meu {s11} {s4} sua benção!
dlga_lady_proposal_refused:lady_proposal_refused_persuade_check|Talvez possa persuadí-la de não adiarmos mais isso.
dlga_lady_proposal_refused_persuade_check:lady_proposal_refused_persuade_player_response|O que tem a dizer?
dlga_lady_proposal_refused_persuade_player_response:lady_proposal_refused_persuade_result|O amor é uma rosa, minha senhora. Deixe-a sem colher, e ela murchará.
dlga_lady_proposal_refused_persuade_player_response:lady_pretalk|Deixa para lá.
dlga_lady_proposal_refused_persuade_result:close_window|Chega, senhor! Eu não serei apressada a me casar, com você ou com quem quer que seja! Você me deixou fula da vida. Por favor me deixe sozinha por enquanto. Eu avisarei quando estiver pronta para falar com você novamente.
dlga_lady_proposal_refused_persuade_result:lady_betrothed|Oh {playername}, eu nunca permitiria que isso acontecesse! Oh, se ao menos pudéssemos nos casar! Mas meu [s11} {s4} nunca daria sua permissão... Talvez seja melhor que nos separemos...
dlga_lady_proposal_refused_persuade_result:close_window.1|Oh {playername}, nunca permitiria isso! Vá e peça a meu {s11} {s4} a permissão para que nos casemos!
dlga_lady_proposal_refused:close_window|Muito bem -- eu me esforçarei para ser digno de sua estima!
dlga_lady_proposal_refused:lady_player_threatens_compel|Estou cansado desses jogos! Eu irei falar com sua família e arranjarei um casamento imediatamente..
dlga_lady_player_threatens_compel:lady_player_threatens_compel_2|Que? Você fala sério?
dlga_lady_player_threatens_compel_2:lady_private_conversation_end|Não, é claro que não. Por favor perdoe meu destemperamento.
dlga_lady_player_threatens_compel_2:close_window|Sim -- você claramente não sabe quais são seus interesses.
dlga_lady_other_suitor:lady_pretalk|Me entristecesse ouvir isso, minha senhora, mas assim será
dlga_lady_other_suitor:lady_other_suitor_challenge|Quem é o patife! Me diga o nome dele!
dlga_lady_other_suitor:lady_player_threatens_compel|Estou cansado desses jogos! Exigirei que sua família force você a se casar comigo..
dlga_lady_other_suitor_challenge:lady_pretalk|Eu seria tão grata! Mas até onde sei, você já tem um duelo em suas mãos. Ele não é forçado pela honra a lutar com você, se você tem outro combate a fazer. Por favor, conclua seus outros negócios rapidamente, a fim de me resgatar das mãos daquele homem!
dlga_lady_other_suitor_challenge:lady_pretalk.1|Ah! Conversa. Mas até onde sei, você já tem um duelo em suas mãos. Termine o que tem que fazer antes disso! (suspiro) ... Homens, tão tolos... 
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm|O nome dele é {s5}, Por favor, salve-me das mãos daquele homem!
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.1|Faria isso? Será interessante. Muito bem. Seu rival é {s5}. Veremos quem de vocês tem mais energia.
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.2|Caramba! Eu gostaria que isso não fosse uma questão de honra, assim eu poderia recusar esse pedido. Mas infelizmente, me sinto compelida a dizer que seu rival é {s5}. Eu queria que os céus não tivessem dado a mim tamanha beleza, assim não inspiraria tais paixões nos homens!
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.3|Não falarei mais sobre isso! É bobagem que você e {s5} lutem -- opa! Por favor, eu imploro, esqueça esse nome que acabou de escapar de meus lábios...
dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_yes|Que seja! Eu irei desafiá-lo a um duelo!
dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_no|Pensando bem, minhas paixões me deixarem levar... Esqueça.
dlga_lady_other_suitor_challenge_confirm_yes:lady_pretalk|{s15}
dlga_lady_other_suitor_challenge_confirm_no:lady_private_conversation_end|Bom. É sábio não deixar que suas emoções o carreguem.
dlga_lady_talk:lady_ask_for_quest|Haveria alguma coisa que possa fazer para ganhar sua honra?
dlga_lady_ask_for_quest:lady_pretalk|Não tenho outros serviços para você no momento.
